npa,nxx,phone_number,company,address1,city,state,postal_code,market,email,vendor_lead_code
352,317,3523179778,Formonix Roofing,3559 S Orange Ave,Orlando,FL,32806,,,RR-037
352,352,3523529298,Red Turtle Roofing Minneola,3387 Grassy Lake View Ave,Clermont,FL,34715,CLERMONT,,RR-127
352,394,3523946461,Smith Roofing Inc,284 W Minneola Ave,Clermont,FL,34711,CLERMONT,,RR-123
352,459,3524597077,Premium Roofing & Restoration LLC,,Winter Garden,FL,34787,WINTER GARDEN,,RR-121
352,488,3524889064,Jim's Contracting,,Orlando,FL,32859,Serving area,,RR-043
352,552,3525526567,Weather All Roofing (line 2),,Winter Garden,FL,34787,WINTER GARDEN,,RR-117
352,636,3526368861,James Strickland - Janney Roofing,674 W Minneola Ave,Clermont,FL,34711,CLERMONT,,RR-131
352,705,3527052869,Horizon West Roofing,2755 Border Lake Rd,Apopka,FL,32703,APOPKA,,RR-167
352,721,3527210398,Titan Roofing,450 E Highway 50 Ste 3,Clermont,FL,34711,CLERMONT,,RR-125
352,752,3527527472,David's Clermont Roofing,1635 E Highway 50,Clermont,FL,34711,CLERMONT,,RR-126
352,790,3527905300,EDCK Roofing,250 Citrus Tower Blvd Ste 603,Clermont,FL,34711,CLERMONT,,RR-135
352,901,3529012955,Roofs For Everyone,1674 Grandeflora Ave,Clermont,FL,34711,CLERMONT,,RR-140
352,936,3529360068,Raven Roofing Ltd,200 Bloxam Ave,Clermont,FL,34711,CLERMONT,,RR-134
386,631,3866315566,Pinnacle Roofing Group,,Orlando,FL,32836,Lic CCC1332542,,RR-010
407,203,4072034825,His and Hers Roofing,515 18th St,Orlando,FL,32805,WINTER GARDEN svc,,RR-108
407,214,4072144872,Universal Roof And Contracting,5655 Carder Rd,Orlando,FL,32810,,,RR-026
407,223,4072236101,Mejia Remodeling Company,3811 Double Eagle Dr,Orlando,FL,32839,,,RR-039
407,227,4072272044,Liquid Roof Doctors LLC,1035 Primera Blvd Ste 1041,Lake Mary,FL,32746,LAKE MARY,,RR-202
407,230,4072303858,Greenway Roofing of Florida,16 N Orlando Ave,Kissimmee,FL,34741,KISSIMMEE,,RR-096
407,253,4072532221,Keeping You Dry Roofing,2550 W Colonial Dr,Orlando,FL,32804,,,RR-015
407,257,4072574860,Steele's Roofing,1337 N 6th St,Orlando,FL,32820,,,RR-030
407,264,4072641632,KK Brothers Remodeling Services,3878 Kingston Oaks Cv,Oviedo,FL,32765,OVIEDO,,RR-227
407,268,4072683178,Peet Roofing & Remodeling,1641 Woodland Ave,Winter Park,FL,32789,,,RR-016
407,275,4072759444,The Orlando Roofing Co,,Orlando,FL,32836,PRIORITY 32836; Lic CCC1330550,,RR-003
407,284,4072847329,Menzel Roofing Services LLC,270 E Bahama Rd,Winter Springs,FL,32708,,,RR-052
407,284,4072841738,Oak Crest Roofing,115 Timberlachen Cir,Lake Mary,FL,32746,LAKE MARY,,RR-195
